iter	Passed	Remaining
0	2	218
1	4	204
2	8	259
3	10	261
4	14	268
5	16	257
6	18	244
7	21	251
8	24	246
9	26	238
10	28	229
11	30	224
12	32	220
13	35	216
14	40	227
15	42	224
16	44	218
17	46	212
18	48	207
19	50	202
20	53	202
21	55	197
22	57	193
23	59	189
24	61	184
25	63	180
26	65	176
27	68	176
28	71	175
29	73	171
30	75	168
31	77	165
32	79	161
33	82	160
34	85	158
35	87	155
36	89	152
37	93	152
38	95	149
39	99	149
40	101	146
41	102	141
42	104	138
43	106	135
44	108	132
45	110	129
46	113	128
47	116	125
48	118	122
49	120	120
50	122	117
51	124	115
52	128	114
53	131	111
54	133	109
55	136	107
56	138	104
57	141	102
58	145	101
59	147	98
60	149	95
61	151	92
62	154	90
63	156	87
64	159	85
65	161	83
66	163	80
67	165	78
68	167	75
69	169	72
70	173	70
71	175	68
72	177	65
73	179	63
74	182	60
75	184	58
76	186	55
77	189	53
78	192	51
79	194	48
80	196	46
81	198	43
82	200	41
83	203	38
84	205	36
85	207	33
86	210	31
87	212	28
88	214	26
89	216	24
90	220	21
91	222	19
92	224	16
93	226	14
94	229	12
95	231	9
96	233	7
97	237	4
98	239	2
99	240	0
