iter	Passed	Remaining
0	175	175760
1	179	89598
2	182	60800
3	185	46086
4	187	37264
5	189	31377
6	191	27174
7	195	24231
8	197	21781
9	199	19799
10	202	18173
11	205	16883
12	206	15705
13	209	14725
14	210	13842
15	212	13066
16	214	12380
17	215	11777
18	217	11228
19	219	10736
20	222	10349
21	223	9951
22	225	9583
23	227	9242
24	229	8938
25	230	8648
26	232	8377
27	235	8184
28	237	7952
29	239	7735
30	240	7531
31	242	7344
32	244	7165
33	246	6994
34	249	6874
35	251	6736
36	253	6604
37	255	6471
38	257	6350
39	259	6229
40	261	6110
41	264	6029
42	266	5925
43	267	5822
44	269	5726
45	271	5631
46	273	5540
47	274	5452
48	278	5396
49	279	5319
50	281	5241
51	284	5192
52	286	5127
53	288	5056
54	291	5009
55	293	4946
56	295	4882
57	297	4825
58	298	4767
59	300	4709
60	302	4652
61	303	4597
62	306	4563
63	308	4515
64	310	4466
65	312	4417
66	313	4370
67	315	4324
68	317	4278
69	318	4233
70	321	4207
71	323	4167
72	325	4135
73	327	4096
74	329	4058
75	330	4020
76	332	3984
77	336	3971
78	337	3940
79	340	3916
80	345	3924
81	357	4004
82	358	3964
83	361	3947
84	367	3953
85	370	3935
86	372	3907
87	374	3884
88	376	3856
89	378	3826
90	382	3815
91	383	3788
92	385	3759
93	387	3731
94	388	3704
95	390	3678
96	392	3652
97	394	3628
98	398	3628
99	400	3606
100	403	3591
101	405	3568
102	406	3544
103	408	3520
104	413	3525
105	415	3505
106	420	3508
107	422	3490
108	424	3469
109	428	3464
110	430	3446
111	432	3427
112	433	3406
113	435	3385
114	437	3368
115	442	3372
116	445	3359
117	447	3345
118	449	3328
119	451	3312
120	453	3296
121	457	3290
122	459	3277
123	461	3262
124	463	3246
125	466	3232
126	467	3213
127	469	3198
128	474	3205
129	480	3212
130	484	3214
131	490	3222
132	493	3216
133	496	3210
134	502	3222
135	505	3213
136	510	3214
137	513	3209
138	520	3226
139	523	3214
140	542	3305
141	549	3317
142	552	3312
143	555	3299
144	557	3288
145	560	3277
146	566	3286
147	570	3286
148	573	3274
149	575	3261
150	583	3280
151	586	3272
152	590	3266
153	597	3284
154	601	3278
155	603	3263
156	605	3249
157	607	3234
158	610	3228
159	612	3217
160	614	3203
161	618	3198
162	620	3187
163	624	3182
164	627	3174
165	630	3168
166	639	3189
167	641	3178
168	644	3168
169	646	3158
170	651	3159
171	654	3151
172	657	3140
173	659	3131
174	662	3123
175	667	3127
176	670	3118
177	674	3116
178	677	3106
179	681	3106
180	684	3097
181	686	3087
182	690	3082
183	692	3073
184	698	3075
185	700	3066
186	704	3062
187	707	3054
188	709	3045
189	715	3048
190	717	3040
191	720	3031
192	722	3022
193	725	3013
194	731	3020
195	734	3012
196	737	3004
197	739	2995
198	744	2997
199	749	2996
200	755	3002
201	759	3000
202	762	2993
203	765	2986
204	768	2979
205	770	2970
206	774	2968
207	777	2959
208	780	2954
209	783	2945
210	785	2938
211	791	2940
212	794	2933
213	796	2925
214	799	2917
215	801	2908
216	807	2915
217	810	2907
218	813	2900
219	815	2891
220	818	2883
221	824	2888
222	828	2886
223	845	2929
224	852	2936
225	855	2931
226	858	2924
227	865	2928
228	869	2926
229	872	2919
230	875	2915
231	882	2922
232	885	2914
233	887	2905
234	891	2900
235	893	2892
236	896	2885
237	898	2875
238	900	2865
239	902	2856
240	905	2850
241	907	2843
242	910	2835
243	912	2825
244	913	2815
245	915	2805
246	917	2795
247	918	2785
248	920	2775
249	922	2766
250	924	2758
251	926	2749
252	928	2740
253	930	2732
254	931	2722
255	933	2713
256	935	2703
257	938	2699
258	940	2691
259	942	2682
260	944	2674
261	946	2667
262	948	2658
263	950	2650
264	953	2644
265	955	2635
266	956	2626
267	958	2617
268	960	2610
269	962	2602
270	964	2594
271	967	2590
272	969	2583
273	972	2575
274	974	2569
275	977	2563
276	979	2556
277	986	2563
278	1038	2682
279	1041	2677
280	1043	2670
281	1052	2680
282	1055	2674
283	1057	2667
284	1060	2660
285	1065	2661
286	1068	2653
287	1070	2646
288	1072	2639
289	1075	2632
290	1097	2673
291	1099	2666
292	1102	2660
293	1104	2652
294	1106	2645
295	1114	2649
296	1116	2642
297	1118	2635
298	1121	2628
299	1123	2621
300	1127	2618
301	1130	2612
302	1132	2605
303	1147	2627
304	1149	2620
305	1152	2613
306	1154	2606
307	1159	2604
308	1161	2597
309	1163	2590
310	1166	2584
311	1169	2577
312	1173	2576
313	1176	2570
314	1204	2620
315	1222	2645
316	1225	2639
317	1227	2632
318	1230	2627
319	1234	2623
320	1238	2620
321	1240	2612
322	1246	2612
323	1250	2609
324	1252	2601
325	1281	2648
326	1285	2644
327	1287	2638
328	1290	2631
329	1292	2623
330	1296	2619
331	1298	2613
332	1301	2606
